step,grad_norm,loss
1,0.5561886429786682,5.696331024169922
2,0.5618644952774048,5.6536359786987305
3,0.5598361492156982,5.7374467849731445
4,0.5589016675949097,5.745542049407959
5,0.5524902939796448,5.747290134429932
6,0.5542880892753601,5.668961524963379
7,0.5535975098609924,5.665725231170654
8,0.5509888529777527,5.687828540802002
9,0.5517013669013977,5.754054069519043
10,0.5495173335075378,5.744428634643555
11,0.5416728258132935,5.737206935882568
12,0.5523231625556946,5.75254487991333
13,0.5536476373672485,5.651398181915283
14,0.5528515577316284,5.708654403686523
15,0.5379645824432373,5.689193248748779
16,0.5332287549972534,5.670298099517822
17,0.5342181921005249,5.639042377471924
18,0.5430970788002014,5.707450866699219
19,0.5298158526420593,5.665384769439697
20,0.5465973019599915,5.699852466583252
21,0.5446339249610901,5.686230182647705
22,0.5188167095184326,5.651391983032227
23,0.5210451483726501,5.672895431518555
24,0.5223092436790466,5.63200044631958
25,0.5345019102096558,5.705021381378174
26,0.523593544960022,5.652670860290527
27,0.514349102973938,5.640102386474609
28,0.5175676345825195,5.6081461906433105
29,0.5147718787193298,5.615816593170166
30,0.523278534412384,5.597925662994385
31,0.5193125605583191,5.654231548309326
32,0.503028154373169,5.631194591522217
33,0.5136796832084656,5.663912296295166
34,0.4991123676300049,5.594668865203857
35,0.48402559757232666,5.611636638641357
36,0.4968525469303131,5.599341869354248
37,0.5123789310455322,5.649157524108887
38,0.5104513764381409,5.608860015869141
39,0.4808323383331299,5.630595684051514
40,5.154932498931885,55.51599884033203
41,0.4829544126987457,5.659060001373291
42,0.49803662300109863,5.606961727142334
43,0.5069133043289185,5.629632472991943
44,0.4681294560432434,5.610130786895752
45,0.5255945920944214,5.646029472351074
46,0.5144655108451843,5.675363540649414
47,0.5007832050323486,5.628528118133545
48,0.5646177530288696,5.668161869049072
49,0.5026581883430481,5.62589168548584
50,0.511586606502533,5.688666343688965
51,0.5176301002502441,5.666292667388916
52,0.4778525233268738,5.623879909515381
53,0.4799540936946869,5.62186336517334
54,0.49363046884536743,5.59944486618042
55,0.5085641741752625,5.639050483703613
56,0.4961754083633423,5.651445388793945
57,0.4882429540157318,5.590328216552734
58,0.47052502632141113,5.624823093414307
59,0.5005491375923157,5.61433219909668
60,0.4658738970756531,5.61993932723999
61,0.48854878544807434,5.582224369049072
62,0.5044846534729004,5.638769626617432
63,0.45988473296165466,5.583682537078857
64,0.4734218120574951,5.626820087432861
65,0.4558340311050415,5.602238178253174
66,0.48343566060066223,5.6033935546875
67,0.44132909178733826,5.595995903015137
68,0.4883354604244232,5.619181156158447
69,0.45347172021865845,5.622139930725098
70,0.4714094400405884,5.570934295654297
71,0.4408343732357025,5.590600490570068
72,0.4440922737121582,5.586810111999512
73,0.4641476273536682,5.60978364944458
74,0.43103185296058655,5.587214946746826
75,0.42462825775146484,5.554383277893066
76,0.4269198775291443,5.58189582824707
77,0.43680986762046814,5.564459800720215
78,0.43947654962539673,5.576958179473877
79,0.4581650495529175,5.601776123046875
80,0.4301350712776184,5.592988014221191
81,0.4168887436389923,5.559291362762451
82,0.39983847737312317,5.568458080291748
83,0.4304506778717041,5.5862507820129395
84,0.424984335899353,5.557953357696533
85,0.38342347741127014,5.56430196762085
86,0.41449564695358276,5.563424110412598
87,0.4241240322589874,5.58172082901001
88,0.39873653650283813,5.5638651847839355
89,0.4156542420387268,5.5562005043029785
90,0.43020057678222656,5.566432952880859
91,0.41464918851852417,5.554343223571777
92,0.4049496650695801,5.565670013427734
93,0.39303719997406006,5.550877571105957
94,0.387860506772995,5.581390857696533
95,0.45757171511650085,5.573561668395996
96,0.4021863043308258,5.564055919647217
97,0.4255174398422241,5.573732376098633
98,0.44312623143196106,5.568910121917725
99,0.3914543390274048,5.555341720581055
100,0.39020705223083496,5.567305088043213
101,0.4047916829586029,5.563831806182861
102,0.42549607157707214,5.568864345550537
103,0.42534390091896057,5.594473838806152
104,0.37485459446907043,5.55507755279541
105,0.41916513442993164,5.567514419555664
106,0.39682725071907043,5.551405906677246
107,0.40007057785987854,5.542129039764404
108,0.4506150782108307,5.586498737335205
109,0.37436267733573914,5.567662715911865
110,0.40737029910087585,5.592998504638672
111,0.4344309866428375,5.583479404449463
112,0.3729148209095001,5.595441818237305
113,0.39327219128608704,5.575922012329102
114,0.41655099391937256,5.5759453773498535
115,0.3734291195869446,5.558434009552002
116,0.3920377790927887,5.550844192504883
117,0.40184083580970764,5.564470291137695
118,0.3746752142906189,5.561880588531494
119,0.3874119520187378,5.582490921020508
120,0.3730419874191284,5.569896697998047
