step,layer,ratio,lr,loss
3,blocks.0.mlp.2.bias,3.07062477e-03,1.80000000e-04,5.750477
3,blocks.1.ln1.weight,1.11733951e-04,1.80000000e-04,5.750477
3,blocks.1.ln1.bias,4.87095848e-01,1.80000000e-04,5.750477
3,blocks.1.attn.in_proj_weight,1.18849788e-03,1.80000000e-04,5.750477
3,blocks.1.attn.in_proj_bias,4.71464832e-01,1.80000000e-04,5.750477
3,blocks.1.attn.out_proj.weight,1.47312713e-03,1.80000000e-04,5.750477
3,blocks.1.attn.out_proj.bias,4.84903572e-01,1.80000000e-04,5.750477
3,blocks.1.ln2.weight,1.01926684e-04,1.80000000e-04,5.750477
3,blocks.1.ln2.bias,4.60845420e-01,1.80000000e-04,5.750477
3,blocks.1.mlp.0.weight,1.45130644e-03,1.80000000e-04,5.750477
3,blocks.1.mlp.0.bias,1.55650030e-03,1.80000000e-04,5.750477
3,blocks.1.mlp.2.weight,2.94500322e-03,1.80000000e-04,5.750477
3,blocks.1.mlp.2.bias,2.97670793e-03,1.80000000e-04,5.750477
3,ln_f.weight,1.61260294e-04,1.80000000e-04,5.750477
3,ln_f.bias,4.88061874e-01,1.80000000e-04,5.750477
3,lm_head.weight,1.51093454e-03,1.80000000e-04,5.750477
4,token_emb.weight,1.21832476e-04,2.40000000e-04,5.686982
4,pos_emb.weight,1.21838701e-04,2.40000000e-04,5.686982
4,blocks.0.ln1.weight,1.24565529e-04,2.40000000e-04,5.686982
4,blocks.0.ln1.bias,3.85578020e-01,2.40000000e-04,5.686982
4,blocks.0.attn.in_proj_weight,1.35979630e-03,2.40000000e-04,5.686982
4,blocks.0.attn.in_proj_bias,3.74995597e-01,2.40000000e-04,5.686982
4,blocks.0.attn.out_proj.weight,1.65827587e-03,2.40000000e-04,5.686982
4,blocks.0.attn.out_proj.bias,3.78221576e-01,2.40000000e-04,5.686982
4,blocks.0.ln2.weight,1.24419300e-04,2.40000000e-04,5.686982
4,blocks.0.ln2.bias,3.90551838e-01,2.40000000e-04,5.686982
4,blocks.0.mlp.0.weight,1.66931923e-03,2.40000000e-04,5.686982
4,blocks.0.mlp.0.bias,1.56434029e-03,2.40000000e-04,5.686982
4,blocks.0.mlp.2.weight,3.30234280e-03,2.40000000e-04,5.686982
4,blocks.0.mlp.2.bias,3.40668108e-03,2.40000000e-04,5.686982
4,blocks.1.ln1.weight,1.25667130e-04,2.40000000e-04,5.686982
4,blocks.1.ln1.bias,3.52645091e-01,2.40000000e-04,5.686982
4,blocks.1.attn.in_proj_weight,1.35207482e-03,2.40000000e-04,5.686982
4,blocks.1.attn.in_proj_bias,3.77851739e-01,2.40000000e-04,5.686982
4,blocks.1.attn.out_proj.weight,1.67887205e-03,2.40000000e-04,5.686982
4,blocks.1.attn.out_proj.bias,3.85088416e-01,2.40000000e-04,5.686982
4,blocks.1.ln2.weight,1.15170932e-04,2.40000000e-04,5.686982
